name,sites,host-address
Site 94 Earlham Grove,Advanced Housing,172.31.176.94
Site 19 Osborne House,Advanced Housing,172.31.176.19
Site 55 Worting Road,Advanced Housing,172.31.176.55
Site 9 Heyworth RD,Advanced Housing,172.31.176.9
Site 33 Hampton Mews,Advanced Housing,172.31.176.34
Site 58 Beaufort Road,Advanced Housing,172.31.176.58
Site 30 Heath Farm Way,Advanced Housing,172.31.176.30
Site 113,Advanced Housing,172.31.176.113
Site 115,Advanced Housing,172.31.176.115
Site 23,Advanced Housing,172.31.176.23
Site 72 Glenfiend Road,Advanced Housing,172.31.176.72
Site 38 Prunus Drive,Advanced Housing,172.31.176.38
Site 70 Monks Road,Advanced Housing,172.31.176.70
Site 107 Carlton Road,Advanced Housing,172.31.176.107
Site 11 Joy Paine,Advanced Housing,172.31.176.11
Site 112 Woodlark House,Advanced Housing,172.31.176.112
Site 20 Kings Road,Advanced Housing,172.31.176.20
Site 28 Jubilee House,Advanced Housing,172.31.176.28
Site 34 Elmer House,Advanced Housing,172.31.176.34
Site 81 Muston Road,Advanced Housing,172.31.176.81
Site 8 Wrens Park,Advanced Housing,172.31.176.8
Site 71 Dennis House,Advanced Housing,172.31.176.71
Site 64 Langabeer Court,Advanced Housing,172.31.176.64
Site 42 Howard Court,Advanced Housing,172.31.176.42
Site 37 Goddard Court,Advanced Housing,172.31.176.37
Site 95 Nicholas Court,Advanced Housing,172.31.176.95
Site 68 Ribble Close,Advanced Housing,172.31.176.68
Site 51 Wollaton Road,Advanced Housing,172.31.176.51
Site 5 Sycamore Road,Advanced Housing,172.31.176.5
Site 110 Mount Pleasent,Advanced Housing,172.31.176.110
Site 26,Advanced Housing,172.31.176.26
Site 21,Advanced Housing,172.31.176.21
Site 27,Advanced Housing,172.31.176.27
Site 12 Albi Court,Advanced Housing,172.31.176.12
Site 31 Kings Court,Advanced Housing,172.31.176.31
Site 33,Advanced Housing,172.31.176.33
Site 45 Tennyson Road,Advanced Housing,172.31.176.45
Site 75,Advanced Housing,172.31.176.75
Site 84,Advanced Housing,172.31.176.84
Site 66,Advanced Housing,172.31.176.66
Site 89,Advanced Housing,172.31.176.89
Site 83,Advanced Housing,172.31.176.83
Site 22,Advanced Housing,172.31.176.22
Site 67,Advanced Housing,172.31.176.67
Site 42,Advanced Housing,172.31.176.42
Site 24,Advanced Housing,172.31.176.24
BNP_Basildon_R01,BNP,172.29.10.18
BNP_Basignstoke_R01,BNP,172.29.10.19
Bristows_R01,Bristows,89.150.26.33
